name,owner,url,stars,age,primary_language,total_releases,index
JavaGuide,Snailclimb,git@github.com:Snailclimb/JavaGuide.git,142029,5,{'name': 'Java'},,1
GitHub-Chinese-Top-Charts,GrowingGit,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,86694,4,{'name': 'Java'},,2
java-design-patterns,iluwatar,git@github.com:iluwatar/java-design-patterns.git,86133,9,{'name': 'Java'},,3
LeetCodeAnimation,MisterBooo,git@github.com:MisterBooo/LeetCodeAnimation.git,74856,5,{'name': 'Java'},,4
mall,macrozheng,git@github.com:macrozheng/mall.git,74843,5,{'name': 'Java'},3.0,5
advanced-java,doocs,git@github.com:doocs/advanced-java.git,73880,5,{'name': 'Java'},1.0,6
spring-boot,spring-projects,git@github.com:spring-projects/spring-boot.git,72280,11,{'name': 'Java'},269.0,7
hello-algo,krahets,git@github.com:krahets/hello-algo.git,71994,1,{'name': 'Java'},7.0,8
elasticsearch,elastic,git@github.com:elastic/elasticsearch.git,67155,14,{'name': 'Java'},138.0,9
interviews,kdn251,git@github.com:kdn251/interviews.git,61415,7,{'name': 'Java'},,10
Java,TheAlgorithms,git@github.com:TheAlgorithms/Java.git,56297,7,{'name': 'Java'},,11
spring-framework,spring-projects,git@github.com:spring-projects/spring-framework.git,54805,13,{'name': 'Java'},285.0,12
guava,google,git@github.com:google/guava.git,49237,9,{'name': 'Java'},43.0,13
RxJava,ReactiveX,git@github.com:ReactiveX/RxJava.git,47589,11,{'name': 'Java'},233.0,14
ghidra,NationalSecurityAgency,git@github.com:NationalSecurityAgency/ghidra.git,46922,5,{'name': 'Java'},33.0,15
dubbo,apache,git@github.com:apache/dubbo.git,39918,11,{'name': 'Java'},95.0,16
jadx,skylot,git@github.com:skylot/jadx.git,38561,11,{'name': 'Java'},28.0,17
jeecg-boot,jeecgboot,git@github.com:jeecgboot/jeecg-boot.git,37420,5,{'name': 'Java'},37.0,18
MPAndroidChart,PhilJay,git@github.com:PhilJay/MPAndroidChart.git,37184,9,{'name': 'Java'},44.0,19
dbeaver,dbeaver,git@github.com:dbeaver/dbeaver.git,36960,8,{'name': 'Java'},196.0,20
tutorials,eugenp,git@github.com:eugenp/tutorials.git,35814,10,{'name': 'Java'},,21
hello-algorithm,geekxh,git@github.com:geekxh/hello-algorithm.git,34619,3,{'name': 'Java'},,22
lottie-android,airbnb,git@github.com:airbnb/lottie-android.git,34612,7,{'name': 'Java'},49.0,23
arthas,alibaba,git@github.com:alibaba/arthas.git,34489,5,{'name': 'Java'},52.0,24
glide,bumptech,git@github.com:bumptech/glide.git,34286,10,{'name': 'Java'},47.0,25
AndroidUtilCode,Blankj,git@github.com:Blankj/AndroidUtilCode.git,32866,7,{'name': 'Java'},117.0,26
netty,netty,git@github.com:netty/netty.git,32624,13,{'name': 'Java'},,27
zxing,zxing,git@github.com:zxing/zxing.git,32124,12,{'name': 'Java'},31.0,28
spring-boot-demo,xkcoding,git@github.com:xkcoding/spring-boot-demo.git,31810,6,{'name': 'Java'},,29
halo,halo-dev,git@github.com:halo-dev/halo.git,31030,6,{'name': 'Java'},160.0,30
easyexcel,alibaba,git@github.com:alibaba/easyexcel.git,30707,6,{'name': 'Java'},10.0,31
termux-app,termux,git@github.com:termux/termux-app.git,29919,8,{'name': 'Java'},89.0,32
spring-boot-examples,ityouknow,git@github.com:ityouknow/spring-boot-examples.git,29849,7,{'name': 'Java'},,33
selenium,SeleniumHQ,git@github.com:SeleniumHQ/selenium.git,29085,11,{'name': 'Java'},91.0,34
nacos,alibaba,git@github.com:alibaba/nacos.git,28819,5,{'name': 'Java'},62.0,35
apollo,apolloconfig,git@github.com:apolloconfig/apollo.git,28719,8,{'name': 'Java'},39.0,36
leetcode,doocs,git@github.com:doocs/leetcode.git,28433,5,{'name': 'Java'},19.0,37
NewPipe,TeamNewPipe,git@github.com:TeamNewPipe/NewPipe.git,28176,8,{'name': 'Java'},128.0,38
hutool,dromara,git@github.com:dromara/hutool.git,28144,9,{'name': 'Java'},139.0,39
SpringAll,wuyouzhuguli,git@github.com:wuyouzhuguli/SpringAll.git,27668,5,{'name': 'Java'},,40
druid,alibaba,git@github.com:alibaba/druid.git,27586,12,{'name': 'Java'},50.0,41
canal,alibaba,git@github.com:alibaba/canal.git,27572,11,{'name': 'Java'},29.0,42
spring-cloud-alibaba,alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,27139,6,{'name': 'Java'},38.0,43
kafka,apache,git@github.com:apache/kafka.git,27086,12,{'name': 'Java'},,44
JCSprout,crossoverJie,git@github.com:crossoverJie/JCSprout.git,27073,6,{'name': 'Java'},,45
vhr,lenve,git@github.com:lenve/vhr.git,26885,6,{'name': 'Java'},,46
xxl-job,xuxueli,git@github.com:xuxueli/xxl-job.git,26298,8,{'name': 'Java'},32.0,47
miaosha,qiurunze123,git@github.com:qiurunze123/miaosha.git,26028,5,{'name': 'Java'},,48
fastjson,alibaba,git@github.com:alibaba/fastjson.git,25603,12,{'name': 'Java'},84.0,49
butterknife,JakeWharton,git@github.com:JakeWharton/butterknife.git,25580,11,{'name': 'Java'},,50
toBeTopJavaer,hollischuang,git@github.com:hollischuang/toBeTopJavaer.git,25130,5,{'name': 'Java'},,51
proxyee-down,proxyee-down-org,git@github.com:proxyee-down-org/proxyee-down.git,24985,6,{'name': 'Java'},49.0,52
incubator-seata,apache,git@github.com:apache/incubator-seata.git,24866,5,{'name': 'Java'},39.0,53
Signal-Android,signalapp,git@github.com:signalapp/Signal-Android.git,24795,12,{'name': 'Java'},,54
SmartRefreshLayout,scwang90,git@github.com:scwang90/SmartRefreshLayout.git,24643,6,{'name': 'Java'},12.0,55
EventBus,greenrobot,git@github.com:greenrobot/EventBus.git,24565,11,{'name': 'Java'},7.0,56
Hystrix,Netflix,git@github.com:Netflix/Hystrix.git,23842,11,{'name': 'Java'},79.0,57
Telegram,DrKLO,git@github.com:DrKLO/Telegram.git,23555,10,{'name': 'Java'},89.0,58
ruoyi-vue-pro,YunaiV,git@github.com:YunaiV/ruoyi-vue-pro.git,23222,3,{'name': 'Java'},24.0,59
skywalking,apache,git@github.com:apache/skywalking.git,23115,8,{'name': 'Java'},58.0,60
flink,apache,git@github.com:apache/flink.git,23015,9,{'name': 'Java'},,61
gson,google,git@github.com:google/gson.git,22893,9,{'name': 'Java'},6.0,62
libgdx,libgdx,git@github.com:libgdx/libgdx.git,22596,11,{'name': 'Java'},11.0,63
redisson,redisson,git@github.com:redisson/redisson.git,22562,10,{'name': 'Java'},144.0,64
jenkins,jenkinsci,git@github.com:jenkinsci/jenkins.git,22245,13,{'name': 'Java'},327.0,65
bazel,bazelbuild,git@github.com:bazelbuild/bazel.git,22184,9,{'name': 'Java'},137.0,66
Sentinel,alibaba,git@github.com:alibaba/Sentinel.git,21868,5,{'name': 'Java'},24.0,67
ExoPlayer,google,git@github.com:google/ExoPlayer.git,21417,9,{'name': 'Java'},28.0,68
Mindustry,Anuken,git@github.com:Anuken/Mindustry.git,20844,6,{'name': 'Java'},160.0,69
eladmin,elunez,git@github.com:elunez/eladmin.git,20705,5,{'name': 'Java'},1.0,70
rocketmq,apache,git@github.com:apache/rocketmq.git,20418,7,{'name': 'Java'},18.0,71
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,20356,11,{'name': 'Java'},,72
JavaGuide,Snailclimb,git@github.com:Snailclimb/JavaGuide.git,142029,5,{'name': 'Java'},,73
GitHub-Chinese-Top-Charts,GrowingGit,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,86694,4,{'name': 'Java'},,74
java-design-patterns,iluwatar,git@github.com:iluwatar/java-design-patterns.git,86133,9,{'name': 'Java'},,75
LeetCodeAnimation,MisterBooo,git@github.com:MisterBooo/LeetCodeAnimation.git,74856,5,{'name': 'Java'},,76
mall,macrozheng,git@github.com:macrozheng/mall.git,74843,5,{'name': 'Java'},3.0,77
advanced-java,doocs,git@github.com:doocs/advanced-java.git,73880,5,{'name': 'Java'},1.0,78
spring-boot,spring-projects,git@github.com:spring-projects/spring-boot.git,72280,11,{'name': 'Java'},269.0,79
hello-algo,krahets,git@github.com:krahets/hello-algo.git,71994,1,{'name': 'Java'},7.0,80
elasticsearch,elastic,git@github.com:elastic/elasticsearch.git,67155,14,{'name': 'Java'},138.0,81
interviews,kdn251,git@github.com:kdn251/interviews.git,61415,7,{'name': 'Java'},,82
Java,TheAlgorithms,git@github.com:TheAlgorithms/Java.git,56297,7,{'name': 'Java'},,83
spring-framework,spring-projects,git@github.com:spring-projects/spring-framework.git,54805,13,{'name': 'Java'},285.0,84
guava,google,git@github.com:google/guava.git,49237,9,{'name': 'Java'},43.0,85
RxJava,ReactiveX,git@github.com:ReactiveX/RxJava.git,47589,11,{'name': 'Java'},233.0,86
ghidra,NationalSecurityAgency,git@github.com:NationalSecurityAgency/ghidra.git,46922,5,{'name': 'Java'},33.0,87
dubbo,apache,git@github.com:apache/dubbo.git,39918,11,{'name': 'Java'},95.0,88
jadx,skylot,git@github.com:skylot/jadx.git,38561,11,{'name': 'Java'},28.0,89
jeecg-boot,jeecgboot,git@github.com:jeecgboot/jeecg-boot.git,37420,5,{'name': 'Java'},37.0,90
MPAndroidChart,PhilJay,git@github.com:PhilJay/MPAndroidChart.git,37184,9,{'name': 'Java'},44.0,91
dbeaver,dbeaver,git@github.com:dbeaver/dbeaver.git,36960,8,{'name': 'Java'},196.0,92
tutorials,eugenp,git@github.com:eugenp/tutorials.git,35814,10,{'name': 'Java'},,93
hello-algorithm,geekxh,git@github.com:geekxh/hello-algorithm.git,34619,3,{'name': 'Java'},,94
lottie-android,airbnb,git@github.com:airbnb/lottie-android.git,34612,7,{'name': 'Java'},49.0,95
arthas,alibaba,git@github.com:alibaba/arthas.git,34489,5,{'name': 'Java'},52.0,96
glide,bumptech,git@github.com:bumptech/glide.git,34286,10,{'name': 'Java'},47.0,97
AndroidUtilCode,Blankj,git@github.com:Blankj/AndroidUtilCode.git,32866,7,{'name': 'Java'},117.0,98
netty,netty,git@github.com:netty/netty.git,32624,13,{'name': 'Java'},,99
zxing,zxing,git@github.com:zxing/zxing.git,32124,12,{'name': 'Java'},31.0,100
spring-boot-demo,xkcoding,git@github.com:xkcoding/spring-boot-demo.git,31810,6,{'name': 'Java'},,101
halo,halo-dev,git@github.com:halo-dev/halo.git,31030,6,{'name': 'Java'},160.0,102
easyexcel,alibaba,git@github.com:alibaba/easyexcel.git,30707,6,{'name': 'Java'},10.0,103
termux-app,termux,git@github.com:termux/termux-app.git,29919,8,{'name': 'Java'},89.0,104
spring-boot-examples,ityouknow,git@github.com:ityouknow/spring-boot-examples.git,29849,7,{'name': 'Java'},,105
selenium,SeleniumHQ,git@github.com:SeleniumHQ/selenium.git,29085,11,{'name': 'Java'},91.0,106
nacos,alibaba,git@github.com:alibaba/nacos.git,28819,5,{'name': 'Java'},62.0,107
apollo,apolloconfig,git@github.com:apolloconfig/apollo.git,28719,8,{'name': 'Java'},39.0,108
leetcode,doocs,git@github.com:doocs/leetcode.git,28433,5,{'name': 'Java'},19.0,109
NewPipe,TeamNewPipe,git@github.com:TeamNewPipe/NewPipe.git,28176,8,{'name': 'Java'},128.0,110
hutool,dromara,git@github.com:dromara/hutool.git,28144,9,{'name': 'Java'},139.0,111
SpringAll,wuyouzhuguli,git@github.com:wuyouzhuguli/SpringAll.git,27668,5,{'name': 'Java'},,112
druid,alibaba,git@github.com:alibaba/druid.git,27586,12,{'name': 'Java'},50.0,113
canal,alibaba,git@github.com:alibaba/canal.git,27572,11,{'name': 'Java'},29.0,114
spring-cloud-alibaba,alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,27139,6,{'name': 'Java'},38.0,115
kafka,apache,git@github.com:apache/kafka.git,27086,12,{'name': 'Java'},,116
JCSprout,crossoverJie,git@github.com:crossoverJie/JCSprout.git,27073,6,{'name': 'Java'},,117
vhr,lenve,git@github.com:lenve/vhr.git,26885,6,{'name': 'Java'},,118
xxl-job,xuxueli,git@github.com:xuxueli/xxl-job.git,26298,8,{'name': 'Java'},32.0,119
miaosha,qiurunze123,git@github.com:qiurunze123/miaosha.git,26028,5,{'name': 'Java'},,120
fastjson,alibaba,git@github.com:alibaba/fastjson.git,25603,12,{'name': 'Java'},84.0,121
butterknife,JakeWharton,git@github.com:JakeWharton/butterknife.git,25580,11,{'name': 'Java'},,122
toBeTopJavaer,hollischuang,git@github.com:hollischuang/toBeTopJavaer.git,25130,5,{'name': 'Java'},,123
proxyee-down,proxyee-down-org,git@github.com:proxyee-down-org/proxyee-down.git,24985,6,{'name': 'Java'},49.0,124
incubator-seata,apache,git@github.com:apache/incubator-seata.git,24866,5,{'name': 'Java'},39.0,125
Signal-Android,signalapp,git@github.com:signalapp/Signal-Android.git,24795,12,{'name': 'Java'},,126
SmartRefreshLayout,scwang90,git@github.com:scwang90/SmartRefreshLayout.git,24643,6,{'name': 'Java'},12.0,127
EventBus,greenrobot,git@github.com:greenrobot/EventBus.git,24565,11,{'name': 'Java'},7.0,128
Hystrix,Netflix,git@github.com:Netflix/Hystrix.git,23842,11,{'name': 'Java'},79.0,129
Telegram,DrKLO,git@github.com:DrKLO/Telegram.git,23555,10,{'name': 'Java'},89.0,130
ruoyi-vue-pro,YunaiV,git@github.com:YunaiV/ruoyi-vue-pro.git,23222,3,{'name': 'Java'},24.0,131
skywalking,apache,git@github.com:apache/skywalking.git,23115,8,{'name': 'Java'},58.0,132
flink,apache,git@github.com:apache/flink.git,23015,9,{'name': 'Java'},,133
gson,google,git@github.com:google/gson.git,22893,9,{'name': 'Java'},6.0,134
libgdx,libgdx,git@github.com:libgdx/libgdx.git,22596,11,{'name': 'Java'},11.0,135
redisson,redisson,git@github.com:redisson/redisson.git,22562,10,{'name': 'Java'},144.0,136
jenkins,jenkinsci,git@github.com:jenkinsci/jenkins.git,22245,13,{'name': 'Java'},327.0,137
bazel,bazelbuild,git@github.com:bazelbuild/bazel.git,22184,9,{'name': 'Java'},137.0,138
Sentinel,alibaba,git@github.com:alibaba/Sentinel.git,21868,5,{'name': 'Java'},24.0,139
ExoPlayer,google,git@github.com:google/ExoPlayer.git,21417,9,{'name': 'Java'},28.0,140
Mindustry,Anuken,git@github.com:Anuken/Mindustry.git,20844,6,{'name': 'Java'},160.0,141
eladmin,elunez,git@github.com:elunez/eladmin.git,20705,5,{'name': 'Java'},1.0,142
rocketmq,apache,git@github.com:apache/rocketmq.git,20418,7,{'name': 'Java'},18.0,143
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,20356,11,{'name': 'Java'},,144
JavaGuide,Snailclimb,git@github.com:Snailclimb/JavaGuide.git,142029,5,{'name': 'Java'},,145
GitHub-Chinese-Top-Charts,GrowingGit,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,86694,4,{'name': 'Java'},,146
java-design-patterns,iluwatar,git@github.com:iluwatar/java-design-patterns.git,86133,9,{'name': 'Java'},,147
LeetCodeAnimation,MisterBooo,git@github.com:MisterBooo/LeetCodeAnimation.git,74856,5,{'name': 'Java'},,148
